id,county,state,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
0500000US51061,Fauquier,Virginia,24270,2,3.3,3.9,3.1,6.7,15,13.3,23.7,13,16.1,104809,132099,27290,Very High
0500000US51069,Frederick,Virginia,32010,3.2,2.2,4.9,7.5,8.1,16.7,17.3,24.6,10.8,4.8,86229,97434,11205,Very High
0500000US51085,Hanover,Virginia,39521,2.3,1.2,5,7.4,9.1,16.6,14.1,22.1,12.9,9.3,89812,110344,20532,Very High
0500000US51087,Henrico,Virginia,130591,4.4,2.7,8.3,7,13.7,18.3,11.3,15.3,8,11,68024,98334,30310,High
0500000US51095,James City,Virginia,30262,3,0.9,6.1,5.2,7.1,14.1,18.1,24.7,11.1,9.9,91674,110625,18951,Very High
0500000US51107,Loudoun,Virginia,133750,1.7,0.6,2.3,3.3,4.1,8.3,10.7,17.9,16.9,34.2,151800,176974,25174,Very High
0500000US51121,Montgomery,Virginia,36244,13.1,3.3,5.9,9,11.8,21.2,11.2,10.9,7.1,6.5,60045,77645,17600,Middle
0500000US51153,Prince William,Virginia,143508,2.5,1.1,3.8,4.9,6.7,12.9,13.8,23.8,12.9,17.6,106861,130059,23198,Very High
0500000US51161,Roanoke,Virginia,37506,3.5,4.3,6.5,7,9.8,21.1,13,19.2,7.4,8.2,71715,93210,21495,High
0500000US51165,Rockingham,Virginia,30462,2.1,1.7,6.5,9.7,17.2,18.7,17.5,14.7,6.4,5.6,69423,84655,15232,High
0500000US51177,Spotsylvania,Virginia,46427,3.5,2.6,5.3,6.1,10.5,13.3,13.1,24.1,11.1,10.4,91073,106950,15877,Very High
0500000US51179,Stafford,Virginia,48092,3,0.7,2.3,3.5,8.1,14,14.4,19.4,19.1,15.5,110446,128826,18380,Very High
0500000US51199,York,Virginia,26008,3.5,3.4,5.3,3.4,6.9,15.9,16.2,23.2,8.4,13.8,91241,113116,21875,Very High
0500000US51510,Alexandria city,Virginia,71005,1.6,1.9,3.4,5.5,6,15.2,13.7,18.4,10.9,23.5,103284,147537,44253,Very High
0500000US51550,Chesapeake city,Virginia,86878,2.4,4.1,7.4,7,9.9,18.1,12.9,21.2,10,7.1,77847,97971,20124,Very High
0500000US51650,Hampton city,Virginia,55633,4.9,5.3,8.9,8.5,17,18.8,15.1,12.1,5.1,4.6,56930,74653,17723,Low
0500000US51680,Lynchburg city,Virginia,28950,8.1,3.2,7.2,11.4,14.8,20.9,15.8,10.8,4.2,3.6,54850,69107,14257,Very Low
0500000US51700,Newport News city,Virginia,70918,8.4,4.5,9.6,8.6,15.3,20.7,13.1,12.4,4.2,3.2,53029,69805,16776,Very Low
0500000US51710,Norfolk city,Virginia,88387,9.2,4.7,9.1,11.3,12.3,20,13,11.6,5.2,3.5,53093,70842,17749,Very Low
0500000US51740,Portsmouth city,Virginia,36089,8.7,5.5,10.5,7,16.9,19,15.2,12,2,3.1,51195,67492,16297,Very Low
0500000US51760,Richmond city,Virginia,89878,10.8,6.6,10.2,8.9,12.5,17.7,10,10.6,5.6,7.1,51285,83723,32438,Very Low
0500000US51770,Roanoke city,Virginia,40810,8.5,10.4,12.5,10,12.7,18.7,9.4,10.1,3.2,4.5,45838,62891,17053,Very Low
0500000US51800,Suffolk city,Virginia,34597,4.5,2.4,7.2,6.4,10.2,15,17.5,21.4,7,8.4,80481,97510,17029,Very High
0500000US51810,Virginia Beach city,Virginia,175029,3.1,1.2,5.1,7.7,10.8,19.1,16.6,19.5,9,7.9,79054,98881,19827,Very High
0500000US53005,Benton,Washington,73678,2.3,3.2,8.9,6.6,12.7,18.2,11.9,19.7,8,8.3,72084,92334,20250,High
0500000US53007,Chelan,Washington,28974,4.7,3.1,10.2,9.7,12.8,21.5,12.6,12.8,7.9,4.8,59161,83381,24220,Low
0500000US53009,Clallam,Washington,33022,8.1,3,10.6,7.5,14.5,17.4,17.4,14.3,5.1,2,57126,68019,10893,Low
0500000US53011,Clark,Washington,180862,3.1,2.4,6,6.4,11.2,17.3,15.6,21,8.6,8.4,80555,99612,19057,Very High
0500000US53015,Cowlitz,Washington,42790,5.7,3.9,9.4,11.3,14.5,19.4,14.3,11.6,5.6,4.4,55497,75014,19517,Low
0500000US53021,Franklin,Washington,28162,6.1,1.8,8.1,10.6,10.2,22.1,10.9,16.9,9,4.3,61951,79129,17178,Middle
